"lat","lng","color","name","sid","nid"
"12.5041331","74.9938782","#edea53","temporary_aqua","Rj-xCy7g21Y","i156"
"28.4965483","77.4262933","#18a582","financial_turquoise","ELAjB4kx_-1","i157"
"18.7764783","73.8251811","#d2adf4","protestant_black","SHx8WI2fP2s","i158"
"12.8249780","77.6683010","#4c3cc4","romantic_rose","Eljp8Iymd9G","i159"
"19.1525133","72.9992133","#ffa5c6","bloody_ivory","zSfrrzSaEhO","i160"
"12.9185571","77.6159943","#a3f7a8","strange_teal","y3eKk1E_bvQ","i161"
"18.5504815","73.9158446","#ba2c69","bitter_olive","v-iD9L0OlZ7","i162"
"28.5216764","77.5020272","#dd0bb7","minimum_tan","6NdGfbIB6bb","i163"
"15.3081125","80.0279192","#6e70ea","significant_yellow","pxbT_uUPseQ","i164"
"28.8231050","77.5521133","#9b4ece","secondary_orange","x99PmzVCOPk","i165"
"18.7643126","73.6008109","#7c45ad","splendid_turquoise","_5bVNg7dJm7","i166"
"14.4438333","79.9795417","#f700f3","unemployed_pink","XeIniV0CX9j","i167"
"12.7702445","77.6494960","#fff59e","solid_purple","ZZNkoe1glYS","i168"
"21.1674309","72.8705633","#084a68","electoral_purple","k1w3wdGef_9","i169"
"19.2100435","73.0961992","#bfe2fc","essential_turquoise","fBtb8YpRKpa","i170"
"28.7214384","77.2406949","#a82817","robust_moccasin","_2fueWT_6jC","i171"
"22.5089813","88.4049184","#11dd29","wonderful_black","ZevAhL-1of7","i172"
"11.1143767","78.0916417","#ab02d6","brief_emerald","F7pp799yaag","i173"
"21.0804087","72.9144963","#d2e074","direct_rose","JsEzfmlwr__","i174"
"19.0138217","73.0305617","#ee8af7","responsible_azure","Az9KtDPyxcT","i175"
"12.9033932","77.5788162","#f28252","delighted_aqua","RfvCR9cQTfp","i176"
"23.1703192","77.4143589","#e074c5","relieved_crimson","5crS2U8_Qu_","i177"
"28.7188240","77.0996681","#865ee5","envious_salmon","_xbAQoUublP","i178"
"19.1216450","72.8876746","#415ec6","royal_bronze","eAzaVzZrVj0","i179"
"19.0451771","72.8504173","#f2c1ff","rear_olive","AFPv9jBwCnJ","i180"
"30.5215263","77.1993761","#cadd4f","nasty_white","HEGxaghTb_S","i181"
"21.2021014","72.8657952","#20b225","sad_jade","GryoU2FTIra","i182"
"21.3577683","81.4135683","#e3f972","dear_black","pk_Bk6xAHty","i183"
"12.9936263","77.6935423","#171bd8","open_black","2JezFTp3RRy","i184"
"28.1085439","76.8300965","#82a1e0","charming_gold","MvOezsS-DUe","i185"
"16.9858067","82.2391680","#f2cd85","roasted_amaranth","5GIU3tJv7S0","i186"
"28.7014777","77.4526822","#1c66dd","guilty_white","ICtqQ9aOsDX","i187"
"22.4564300","71.0573683","#f7cb07","european_tan","n4JpBLG8ofw","i188"
"21.2029793","72.8521536","#66dd70","filthy_gray","5E0m_flRnLZ","i189"
"19.0202854","72.8620759","#b7e3f4","robust_brown","8KXMh_vx9Md","i190"
"17.8367586","78.7300759","#94dde0","happy_copper","ye-ikmfeD66","i191"
"12.8423020","80.1586061","#f9c2c7","relaxed_lime","EAqjTSN3qho","i192"
"21.1670398","72.8809541","#d89756","broad_copper","6rmkIebMfBR","i193"
"28.7455883","77.2951240","#f9e9b8","huge_gray","dnZAyJNDTq7","i194"
"27.9168060","78.1173926","#47f8ff","interior_teal","RbWIE8rQJSe","i195"
"22.5302167","88.4036733","#220bba","communist_peach","SuauaXu-Ddl","i196"
"21.1726488","72.8706361","#48e1f2","artistic_turquoise","oNr1fcnCaDx","i197"
"28.7455823","77.2950947","#34017c","agricultural_violet","ZJSs-JB8aAh","i198"
"24.5721658","73.7504195","#efd294","desperate_peach","Z8qA6pe2kgw","i199"
"21.1743739","72.8749962","#edd8a6","particular_lavender","nOj3cN-1i4F","i200"
"11.6752541","75.9767546","#c45544","short_peach","qUJL5FIUd_t","i201"
"17.4411283","78.4502711","#f2ce9d","ambitious_harlequin","aq2IELusdNw","i202"
"22.5686005","88.5106983","#853edd","minor_lavender","3W61ktUiLck","i203"
"17.9448233","75.4231167","#f29396","adjacent_coffee","IjuM9G2LM4V","i204"
"28.6181802","77.3526052","#f48916","mixed_bronze","YuH38SEP3sm","i205"
"28.7460600","77.2948480","#e8667b","naked_olive","zjxt3bzA5wn","i206"
"28.4872676","77.0672885","#e8afff","noisy_gray","U4U-varFCkF","i207"
"12.9092878","77.6063819","#dd5fa2","unusual_purple","R0P1S9EGpK-","i208"
"19.2608103","73.0498471","#1130e0","foolish_crimson","Wm_3K-jTgCV","i209"
"28.8306813","77.0940961","#db85be","urgent_aquamarine","yi60eZ2dH3J","i210"
"11.1039275","77.3384326","#49cc08","back_ivory","cBxCgFQmdco","i211"
"28.3760945","76.9330033","#3ee877","final_scarlet","s-AiMTPpxtL","i212"
"12.7556391","77.8057583","#ce0268","colourful_chocolate","MwPnq4FZezl","i213"
"28.5903183","77.3088200","#d83511","sensitive_indigo","MRDnAYHjpY8","i214"
"28.6083217","77.4450785","#45ef59","ugly_teal","eiCNECoKU0L","i215"
"19.0262492","72.8743522","#ffc6ff","glamorous_blush","2Q1oNGpIWt5","i216"
"22.6713870","75.8274298","#a3b9e2","lost_amaranth","2-xNzhjZJ1C","i217"
"18.9586314","72.8377288","#3643a5","continuous_rose","8kEFQinC6UY","i218"
"17.4677048","78.3587318","#998be5","pretty_purple","RjDHHR60Twr","i219"
"28.5914012","77.3070808","#32c1ac","civilian_gray","Chx1tWgWxi0","i220"
"13.2487209","77.5610736","#7281cc","essential_fuchsia","qrJfd61cHqa","i221"
"16.6773567","74.2014700","#cbd35f","roasted_salmon","EyPXv1Zi3Na","i222"
"28.7139068","77.1795664","#41e259","ugly_apricot","Wh-6gyLLj0-","i223"
"25.4349359","75.6598666","#5f51cc","independent_silver","fAEurCwTceI","i224"
"28.1678473","94.7961330","#ffadda","cultural_moccasin","btqzZ-5h6sy","i225"
"28.5481600","77.1014267","#c087f2","marginal_tomato","ghNvyxjdZRa","i226"
"18.6719817","74.1004617","#edadeb","cooperative_amber","efPR3rzGw-F","i227"
"12.9594685","77.5461689","#94dd6c","sad_chocolate","QL0cpCuQp9S","i228"
"23.2658357","77.3762063","#b2ffc6","jolly_copper","g2N7jNRe3fh","i229"
"23.4940939","72.0504990","#0cf737","western_green","wiSqfbSkJHP","i230"
"28.6292369","77.2930928","#5ec621","silly_aqua","7GfMQLuXLHK","i231"
"12.3075148","76.6223810","#c6f78a","legal_turquoise","8p7zYvLnogB","i232"
"28.5236302","77.0775540","#e863a3","major_gold","c763RBHHP9k","i233"
"20.9516825","86.1389209","#ead185","retired_red","urG1-k9xtgG","i234"
"13.0300433","77.5970367","#8bce06","aggressive_gold","uQ4-hlxqNul","i235"
"28.3748787","76.9333030","#c47609","fragile_copper","yX14Q5EE9lq","i236"
"22.4265094","73.2224540","#ea0be3","early_brown","P--InITiuDW","i237"
"28.6819417","77.2720350","#23498e","ultimate_orange","diBUGtpoW7X","i238"
"23.1724489","77.4183906","#fff8bf","embarrassed_peach","y_hS16gwlRJ","i239"
"18.7303567","73.8373116","#6388cc","mere_aquamarine","1wxTNP8XUVF","i240"
"22.5425219","88.3779259","#fcab4e","rolling_scarlet","aBcmYVFvwPm","i241"
"28.4820410","77.5089135","#ef005b","underground_amber","S7r31Riq3h7","i242"
"28.6304237","77.2784452","#c2f78c","energetic_lavender","IzF6535QgFp","i243"
"23.2099718","77.4338014","#28c95b","principal_ivory","Yd8LKR3HQVq","i244"
"22.2443710","73.2009284","#0c0b7a","dangerous_azure","gyDtawyrJ3w","i245"
"12.7218826","77.8640098","#3783ce","valuable_lime","1wERWnnE5e9","i246"
"12.9415334","77.7475526","#75bf35","skinny_plum","CU8ADGIPQRU","i247"
"21.1978252","72.8659842","#9b4fdd","required_cyan","pndKU5CySqC","i248"
"12.8875750","80.1457967","#8082e5","delicious_sapphire","6Tw-TUhECsT","i249"
"19.2436666","73.1537628","#6af7c8","different_coffee","13bxwI3OFDx","i250"
"23.2610243","77.4284631","#770bc4","filthy_gray","5vsD0YRkZF7","i251"
"19.1461157","72.8380816","#23ff40","excited_purple","VsivMVGOq_8","i252"
"18.5574728","73.9231230","#ffdf82","victorian_coral","ouwq5iWlRlP","i253"
"23.2608167","77.4284233","#69189b","crazy_gray","54ZKGax86Pw","i254"
"23.1776488","77.3283144","#fc64a1","worldwide_sapphire","6dNpGkaMJlV","i255"
"21.1278614","84.9782336","#3d42db","stuck_green","9Hw3qYKVkpaJ","i256"
"18.9088477","72.8156053","#fc747f","marked_moccasin","HJyHCjhVJ0bc","i257"
"13.6441006","79.4326782","#d348f9","widespread_crimson","6O7RNpSWKiCm","i258"
"17.4190866","78.4647811","#08a327","colossal_moccasin","evWNcuDAAfu1","i259"
"22.9908769","72.2580621","#ad0847","jolly_teal","5a9C48POzyJu","i260"
